gene_id	 SRR006295	SRR006296	SRR006297	SRR006300	SRR006301	SRR006302	SRR006303	SRR006304	SRR029309	SRR029310	
Cm_g10191	0	0	0	0	0	0	0	0	0	0
Cm_g10192	1	4	4	5	5	13	11	12	5	10
Cm_g10193	0	0	0	0	0	0	0	0	0	0
Cm_g10194	12	7	12	20	4	22	11	37	4	14
Cm_g10195	12	5	5	7	3	13	1	5	5	6
Cm_g10196	5	1	1	24	4	16	25	24	3	2
Cm_g10197	0	0	0	0	0	0	0	0	0	0
Cm_g10198	1	0	1	0	0	0	0	0	0	0
Cm_g10199	4	1	5	0	1	2	4	3	1	6
Cm_g102	0	0	0	3	1	1	2	0	0	0
Cm_g10200	1	3	1	4	1	9	1	4	2	4
Cm_g10201	0	0	0	0	0	0	0	0	0	0
Cm_g1020	1	0	2	4	0	1	0	3	4	6
Cm_g10202	0	1	0	0	0	0	0	0	0	0
Cm_g10203	0	0	1	0	0	0	0	0	0	0
Cm_g10204	0	0	0	0	0	0	0	0	0	0
Cm_g10205	0	4	1	0	0	0	0	3	2	4
Cm_g10206	0	0	0	0	0	0	0	0	0	0
Cm_g10207	0	0	0	0	0	0	0	0	0	0
Cm_g10208	0	1	0	0	0	0	0	0	0	0
Cm_g10209	0	0	0	0	0	0	0	0	0	0
Cm_g1021	0	0	0	0	0	0	0	0	0	0
Cm_g10210	0	0	0	0	0	0	0	0	0	0
Cm_g10211	2	3	5	0	0	0	1	0	4	8
Cm_g10212	0	0	0	0	0	0	0	0	0	0
Cm_g10213	0	0	0	9	0	2	3	2	0	0
Cm_g10214	0	0	0	0	0	0	0	0	0	0
Cm_g10215	2	2	1	6	0	9	2	3	3	5
Cm_g10216	0	0	0	0	0	0	0	0	0	0
Cm_g10217	0	0	0	0	0	0	0	0	0	0
Cm_g10218	0	0	0	0	0	0	0	0	0	0
Cm_g10219	2	3	5	2	0	4	4	5	6	4
Cm_g1022	0	0	0	0	0	0	0	0	0	0
Cm_g10220	0	0	0	0	0	0	0	0	0	0
Cm_g10221	8	6	4	14	3	18	8	7	4	9
Cm_g10222	0	0	0	0	0	0	0	0	0	0
Cm_g10223	5	0	0	2	1	3	0	6	1	1
Cm_g10224	5	8	8	21	4	19	11	23	9	18
Cm_g10225	10	4	3	13	4	13	4	10	7	10
Cm_g10226	0	0	0	0	0	0	0	1	0	0
Cm_g10227	0	0	0	0	0	0	0	0	1	0
Cm_g10228	7	10	10	3	2	16	5	6	19	35
Cm_g10229	0	0	0	0	0	0	0	0	0	0
Cm_g1023	0	0	0	0	0	0	0	0	0	0
Cm_g10230	0	17	3	0	0	5	2	3	9	3
Cm_g10231	0	0	0	0	0	0	0	0	1	0
Cm_g10232	0	2	1	0	0	0	0	0	1	2
Cm_g10233	5	9	5	8	3	7	4	16	5	4
Cm_g10234	0	0	0	0	0	0	0	0	0	0
Cm_g10235	0	0	0	0	0	0	0	0	0	0
Cm_g10236	0	0	0	0	0	0	0	0	0	0
Cm_g10237	0	0	0	0	0	0	0	0	0	0
Cm_g10238	2	2	1	0	1	0	0	0	3	3
Cm_g10239	0	0	0	0	0	0	0	0	0	0
Cm_g1024	0	0	0	0	0	0	0	0	0	0
Cm_g10240	1	2	0	1	1	2	0	0	0	0
Cm_g10241	2	2	0	1	0	3	0	2	0	1
Cm_g10242	1	0	0	1	0	1	0	3	0	0
Cm_g10243	0	0	0	0	0	0	0	0	0	0
Cm_g10244	0	0	0	0	0	0	0	0	0	0
Cm_g10245	0	0	0	0	0	0	0	0	0	1
Cm_g10246	0	0	0	0	0	0	0	0	0	0
Cm_g10247	0	3	2	0	0	1	5	2	3	2
Cm_g10248	0	0	0	0	0	0	0	0	0	0
Cm_g10249	0	0	0	0	0	0	0	0	0	0
Cm_g10250	0	0	0	0	0	0	0	0	0	0
Cm_g10251	0	0	0	0	0	0	0	0	0	0
Cm_g1025	1	1	0	17	2	7	2	4	0	2
Cm_g10252	0	0	0	0	0	0	0	0	0	0
Cm_g10253	0	0	0	0	0	0	0	0	0	0
Cm_g10254	0	0	0	0	0	0	0	0	0	0
Cm_g10255	0	0	0	0	0	0	0	0	0	0
Cm_g10256	2	1	0	0	0	0	0	2	0	0
Cm_g10257	0	0	0	0	0	0	0	1	0	0
Cm_g10258	0	0	0	7	0	0	3	3	0	0
Cm_g10259	2	0	0	0	0	1	0	0	0	0
Cm_g10260	4	5	4	8	6	7	2	8	3	11
Cm_g10261	0	0	0	1	0	0	0	2	0	0
Cm_g10262	2	2	0	6	1	1	0	2	2	4
Cm_g10263	0	0	1	0	0	0	0	0	0	0
Cm_g10264	0	0	0	0	0	0	0	0	0	0
Cm_g10265	0	0	0	0	0	0	0	0	0	0
Cm_g10266	0	0	0	0	0	0	0	0	0	0
Cm_g10267	1	0	0	2	0	0	2	1	3	0
Cm_g10268	0	0	0	0	0	0	0	0	0	0
Cm_g10269	0	0	0	0	0	0	0	0	0	0
Cm_g1026	9	1	4	55	13	36	18	48	3	7
Cm_g10270	0	0	0	0	0	0	0	0	0	0
Cm_g10271	0	0	0	0	0	0	0	0	0	0
Cm_g10272	0	0	0	1	1	1	0	1	0	0
Cm_g10273	0	0	0	0	0	0	0	0	0	0
Cm_g1027	3	2	2	2	0	7	2	10	0	7
Cm_g10274	0	0	0	0	0	0	0	1	0	0
Cm_g10275	0	0	0	0	0	0	0	0	0	0
Cm_g10276	0	0	0	1	0	0	0	0	0	0
Cm_g10277	7	0	0	0	0	0	0	0	0	0
Cm_g10278	0	0	0	0	0	0	1	0	0	0
Cm_g10279	4	0	0	0	0	0	3	4	0	0
Cm_g10280	0	0	0	0	0	0	0	0	0	0
Cm_g10281	68	1	0	43	0	3	1	4	4	0
Cm_g10282	6	5	3	9	1	9	4	10	0	2
Cm_g10283	5	8	4	11	4	11	3	20	8	13
Cm_g10284	0	0	1	0	0	0	0	0	0	0
Cm_g10285	0	0	0	0	0	0	0	0	0	0
Cm_g1028	5	7	6	1	1	3	3	3	1	3
Cm_g10286	0	0	0	0	0	0	0	0	0	0
Cm_g10287	5	0	1	0	0	0	0	0	0	0
Cm_g10288	16	4	4	13	1	1	1	0	8	5
Cm_g10289	0	0	0	0	0	0	0	0	0	0
Cm_g10290	0	0	0	0	0	0	0	0	0	0
Cm_g1029	0	0	0	0	0	0	0	0	1	0
Cm_g10291	0	0	0	1	0	0	0	0	0	2
Cm_g10292	1	0	0	0	0	0	0	0	0	0
Cm_g10293	4	0	0	1	0	10	0	3	5	3
Cm_g10294	1	0	0	6	4	4	2	5	1	11
Cm_g10295	0	0	0	0	0	1	4	0	0	0
Cm_g10296	0	0	0	2	0	2	1	4	0	0
Cm_g10297	0	0	0	0	0	0	0	0	0	0
Cm_g10298	0	0	0	0	0	0	0	0	0	0
Cm_g10299	0	0	0	0	0	0	0	0	0	0
Cm_g1030	0	0	0	0	0	0	0	0	0	0
Cm_g10300	0	0	0	0	0	0	0	0	0	0
Cm_g10301	4	4	6	10	3	16	4	13	4	10
Cm_g10302	0	0	0	0	0	0	0	0	0	0
Cm_g10303	0	0	0	0	0	0	0	0	0	0
Cm_g10304	0	0	0	0	0	0	0	0	0	0
Cm_g10305	0	0	0	0	0	0	0	0	0	0
Cm_g10306	0	0	0	0	0	0	0	0	0	0
